0, 0, 0
-5.63, -0.77, -97.79
-10.27, 0.73, -85.93
-12.19, 1.0, -85.31
-12.88, 0.65, -87.11
-12.95, -0.34, -91.50001
-12.68, -0.88, -93.97
-13.3, -0.77, -93.31
-15.33, -2.15, -97.98
-16.09, 2.64, -80.68
-14.45, -0.15, -90.59
-13.37, -0.38, -91.63
-8.66, -1.15, -97.56
-5.44, -0.57, -95.98001
-8.43, -2.03, -103.54
-7.51, -0.38, -92.9
-5.36, 0.0, -90.0
-5.13, -0.73, -98.1
-6.13, 0.27, -87.48
-9.08, -0.38, -92.40001
-9.85, 0.38, -87.79
-10.23, -1.15, -96.41001
-11.38, -0.23, -91.16
-11.92, 0.31, -88.51001
-12.76, -0.92, -94.12001
-15.44, -0.04, -90.15
-15.94, 0.65, -87.66001
-14.87, -0.31, -91.19
-12.95, -0.38, -91.68
-11.34, 0.0, -90.0
-8.05, -0.31, -92.21
-6.9, 0.15, -88.75
-6.02, -0.27, -92.57
-4.87, -0.54, -96.33
-4.41, -1.07, -103.64
-5.1, -0.73, -98.15001
-6.9, -0.04, -90.33
-9.31, 0.27, -88.34
-11.11, 1.07, -84.5
-11.07, 0.57, -87.05001
-12.68, 0.92, -85.85
-15.9, -0.19, -90.68
-17.24, -0.65, -92.16001
-16.32, 0.31, -88.91001
-13.72, -0.11, -90.46
-11.42, 0.27, -88.65001
-10.08, -0.65, -93.69
-6.97, -0.27, -92.22
-5.9, -0.46, -94.46
-5.21, -0.34, -93.73
-4.56, -0.42, -95.26
-5.82, -0.42, -94.13
-6.63, -0.04, -90.35
-8.24, 0.69, -85.21
-10.54, 0.69, -86.25
-12.15, 0.23, -88.92
-14.22, 0.92, -86.3
-15.56, -0.8, -92.94001
-16.36, -1.15, -94.01999
-15.56, -0.04, -90.15
-14.94, 0.46, -88.24
-13.91, 0.27, -88.89
-11.11, 0.15, -89.23
-9.54, 0.5, -87.0
-6.21, 0.42, -86.13
-3.49, -1.19, -108.83
-3.49, -1.11, -107.64
-3.68, -1.42, -111.1
-4.71, -1.15, -103.72
-5.82, 0.69, -83.24
-10.04, 1.46, -81.73
-12.99, 1.46, -83.59
-12.38, 2.11, -80.33
-12.8, 0.11, -89.51
-15.1, 0.38, -88.56
-17.47, -0.88, -92.88
-15.37, -1.53, -95.68
-14.06, -0.73, -92.97
-12.34, -0.42, -91.95
-9.81, 0.61, -86.44
-8.28, 0.73, -84.96
-6.4, 0.88, -82.17
-5.13, 0.42, -85.32001
-4.52, 0.11, -88.61
-4.33, -0.61, -98.02
-5.29, -1.15, -102.26
-7.28, 0.15, -88.82
-11.99, -0.27, -91.29001
-13.57, 0.46, -88.06
-15.67, 1.03, -86.24
-14.68, -0.65, -92.54001
-15.21, 0.23, -89.13
-15.1, 0.54, -87.95
-12.76, -0.34, -91.53
-11.84, -1.26, -96.07
-10.81, -1.65, -98.68
-8.74, -0.57, -93.73
-7.17, 1.61, -77.34
-4.98, 1.38, -74.51
-3.45, -0.38, -96.29001
-4.33, -1.23, -105.86
-4.79, -1.88, -111.43
-5.56, -0.15, -91.55001
-8.43, 0.92, -83.77
-12.68, 0.31, -88.6
-13.76, 1.72, -82.87001
-13.11, -0.34, -91.49
-15.79, -2.18, -97.86
-18.13, 0.15, -89.53
-17.47, 1.23, -85.97
-14.56, 0.15, -89.41001
-11.15, -0.69, -93.54
-8.12, -0.54, -93.8
-7.24, -0.88, -96.93
-6.48, -0.08, -90.71
-5.25, 1.38, -75.27
-3.56, -0.46, -97.36
-3.45, -0.88, -104.31
-5.36, -0.15, -91.6
-8.35, -1.76, -101.9
-11.42, -0.15, -90.75
-14.94, 1.23, -85.29
-17.67, 0.46, -88.51001
-18.36, 1.42, -85.58001
-16.06, -1.38, -94.91
-14.1, -0.88, -93.57
-11.61, -0.08, -90.39001
-8.78, 0.11, -89.28
-6.32, 0.54, -85.12
-5.17, 1.15, -77.46
-4.14, 0.04, -89.45
-4.02, -0.73, -100.29
-4.98, -1.42, -105.92
-6.48, -0.57, -95.03
-7.4, 0.0, -90.0
-10.61, 0.0, -90.0
-13.26, 1.61, -83.08001
-15.67, 2.07, -82.47001
-16.86, 1.3, -85.59
-18.39, 0.65, -87.98
-15.94, 0.31, -88.89
-13.68, 0.38, -88.41001
-11.5, -0.54, -92.69
-8.85, -0.5, -93.23001
-7.97, 0.46, -86.7
-6.17, 0.31, -87.12001
-4.18, -0.11, -91.51
-3.64, -1.03, -105.8
-3.99, -1.38, -109.08
-4.22, -0.88, -101.78
-6.78, 0.69, -84.19001
-10.73, 1.53, -81.88
-14.56, 1.88, -82.64
-16.02, 0.54, -88.07
-17.24, -0.08, -90.26999
-16.94, 0.31, -88.95
-15.21, -0.04, -90.15
-13.76, 0.8, -86.67
-11.96, -0.19, -90.91001
-9.73, -0.11, -90.65001
-7.59, 1.03, -82.27
-5.4, 0.08, -89.15
-4.68, -0.27, -93.30001
-3.68, -2.22, -121.1
-4.6, -2.07, -114.23
-5.63, -1.07, -100.76
-7.4, -0.04, -90.31
-12.68, 1.92, -81.39
-12.76, 1.57, -82.99
-13.72, 1.0, -85.83
-17.24, 0.15, -89.5
-18.05, -0.04, -90.13
-16.17, 0.84, -87.03
-13.3, 0.8, -86.56
-10.5, 0.5, -87.27
-7.2, -0.23, -91.83001
-6.25, 1.15, -79.57
-4.71, 0.0, -90.0
-3.76, -1.26, -108.53
-4.83, -1.88, -111.27
-4.98, -1.76, -109.46
-6.36, 0.46, -85.86
-8.09, 2.38, -73.61
-11.61, 2.34, -78.6
-14.29, 0.19, -89.24
-16.44, -0.11, -90.38
-19.28, 0.0, -90.0
-16.59, 1.34, -85.38
-14.49, 1.0, -86.05
-12.53, 0.42, -88.08001
-9.81, 0.54, -86.85
-8.55, 0.11, -89.26001
-7.47, 0.08, -89.39
-6.51, 0.34, -87.01
-4.75, -0.04, -90.48
-4.22, -1.26, -106.62
-4.94, -1.26, -104.31
-5.21, -0.54, -95.92
-7.4, -0.11, -90.85
-9.66, 0.57, -86.62001
-14.52, 1.0, -86.06
-16.55, 0.0, -90.0
-18.82, 1.42, -85.69
-17.21, 0.69, -87.7
-15.21, 1.57, -84.11
-13.8, 0.42, -88.26
-10.54, -0.11, -90.6
-8.89, 0.38, -87.55
-8.12, 0.5, -86.48001
-4.87, -0.11, -91.29001
-3.41, -0.65, -100.79
-2.87, -0.61, -102.0
-3.37, -1.69, -116.63
-4.29, -0.77, -100.18
-7.59, 0.08, -89.40001
-12.34, 1.72, -82.06
-16.09, 2.11, -82.53
-16.29, 0.0, -90.0
-18.2, 0.31, -89.01999
-18.01, -0.04, -90.13
-16.32, 1.0, -86.49
-13.8, 0.38, -88.42
-11.11, 0.31, -88.4
-7.74, -0.27, -92.0
-6.48, -0.42, -93.71
-4.41, 0.34, -85.59
-2.64, -0.27, -95.84
-3.18, -1.0, -107.46
-3.87, -1.46, -110.67
-6.25, 0.0, -90.0
-8.16, 1.11, -82.25
-10.38, 0.31, -88.29
-13.91, 0.31, -88.72001
-15.98, 1.19, -85.74
-17.86, 0.27, -89.13
-17.59, 1.11, -86.39
-15.86, 0.92, -86.68
-13.76, 0.23, -89.04
-9.5, 0.34, -87.95
-8.12, 0.88, -83.81
-6.13, 0.04, -89.63
-4.02, -0.08, -91.14
-3.14, 0.11, -87.99
-4.1, -0.8, -101.04
-4.87, -0.92, -100.7
-6.59, -0.73, -96.32
-9.66, 0.46, -87.27
-13.91, 0.65, -87.32
-14.75, 1.84, -82.89001
-17.47, 0.77, -87.48
-17.78, 0.88, -87.17
-15.52, 0.57, -87.9
-14.14, 0.57, -87.69
-12.84, 0.11, -89.51
-8.62, 0.04, -89.73001
-7.2, -0.88, -96.97001
-6.13, 0.0, -90.0
-4.75, 0.54, -83.51001
-3.99, 0.23, -86.7
-3.95, -0.61, -98.78
-4.71, -0.46, -95.58001
-5.82, -0.31, -93.05
-8.7, 0.19, -88.75
-16.32, 0.27, -89.05001
-16.4, 2.11, -82.67
-17.7, 1.03, -86.67
-17.36, 1.03, -86.6
-15.67, 0.9599999, -86.49
-13.87, 0.15, -89.38
-10.84, -0.08, -90.42
-9.31, 0.15, -89.08
-6.86, -0.92, -97.64
-4.83, -0.54, -96.38
-3.79, -0.65, -99.73001
-3.3, -0.54, -99.29
-4.25, -0.5, -96.71
-4.45, -0.23, -92.96
-5.94, 0.69, -83.37001
-8.85, 1.26, -81.90001
-13.99, 2.72, -79.0
-19.54, -0.38, -91.11
-19.54, -0.23, -90.67
-16.94, 0.08, -89.73001
-15.37, 1.72, -83.61
-13.76, 1.49, -83.82
-10.0, 0.34, -88.05
-7.97, 0.0, -90.0
-6.36, -0.31, -92.79
-5.21, -0.27, -92.97
-3.95, 0.77, -78.97
-4.48, 0.04, -89.49
-5.1, -1.88, -110.24
-7.09, -1.07, -98.58001
-10.04, -1.19, -96.76001
-11.76, 1.11, -84.61
-11.57, 2.99, -75.51
-11.04, 1.84, -80.54
-14.03, 1.88, -82.37
-16.94, -1.95, -96.57001
-16.55, -2.22, -97.64
-16.13, 0.38, -88.65001
-14.52, 1.07, -85.79
-12.03, 0.77, -86.34
-7.4, 0.19, -88.53
-5.75, -1.11, -100.93
-4.75, -1.0, -101.89
-2.57, -1.19, -114.85
